budget_over_255,attack,seed,source,target,source_asr_percent,source_asr_numerator,source_asr_denominator,ptr_percent,ptr_numerator,ptr_denominator,ctr_percent,ctr_numerator,ctr_denominator
8,noise,1,vgg16,vgg16,1.758655016038049,159,9041,1.758655016038049,159,9041,100.0,159,159
8,noise,1,vgg16,mobilenet_v2,1.758655016038049,159,9041,6.822680172313424,586,8589,42.10526315789473,48,114
8,noise,1,mobilenet_v2,resnet18,7.806116815722645,707,9057,2.5185518326961995,224,8894,16.6412213740458,109,655
8,noise,1,mobilenet_v2,vgg16,7.806116815722645,707,9057,1.2923506811037373,111,8589,7.6923076923076925,44,572
8,noise,1,mobilenet_v2,mobilenet_v2,7.806116815722645,707,9057,7.806116815722645,707,9057,100.0,707,707
8,fgsm,1,resnet18,resnet18,56.762446058309656,5393,9501,56.762446058309656,5393,9501,100.0,5393,5393
8,fgsm,1,resnet18,vgg16,56.762446058309656,5393,9501,27.180527383367142,2412,8874,45.61148086522462,2193,4808
8,fgsm,1,resnet18,mobilenet_v2,56.762446058309656,5393,9501,56.734877445468854,5046,8894,77.45401942550114,3748,4839
8,fgsm,1,vgg16,resnet18,87.82214356818936,7940,9041,56.75005634437683,5036,8874,63.99073716711694,4974,7773
8,fgsm,1,vgg16,vgg16,87.82214356818936,7940,9041,87.82214356818936,7940,9041,100.0,7940,7940
8,fgsm,1,vgg16,mobilenet_v2,87.82214356818936,7940,9041,64.54767726161369,5544,8589,71.86332087560065,5384,7492
8,fgsm,1,mobilenet_v2,resnet18,91.79640057414154,8314,9057,47.357769282662474,4212,8894,50.64377682403433,4130,8155
8,fgsm,1,mobilenet_v2,vgg16,91.79640057414154,8314,9057,29.38642449644895,2524,8589,31.412213740458018,2469,7860
8,fgsm,1,mobilenet_v2,mobilenet_v2,91.79640057414154,8314,9057,91.79640057414154,8314,9057,100.0,8314,8314
8,pgd,1,resnet18,resnet18,100.0,9501,9501,100.0,9501,9501,100.0,9501,9501
8,pgd,1,resnet18,vgg16,100.0,9501,9501,18.154158215010142,1611,8874,18.154158215010142,1611,8874
8,pgd,1,resnet18,mobilenet_v2,100.0,9501,9501,72.3184169102766,6432,8894,72.3184169102766,6432,8894
8,pgd,1,vgg16,resnet18,99.9889392766287,9040,9041,92.81045751633987,8236,8874,92.82091738983434,8236,8873
8,pgd,1,vgg16,vgg16,99.9889392766287,9040,9041,99.9889392766287,9040,9041,100.0,9040,9040
8,pgd,1,vgg16,mobilenet_v2,99.9889392766287,9040,9041,95.61066480381884,8212,8589,95.62179785747554,8212,8588
8,pgd,1,mobilenet_v2,resnet18,100.0,9057,9057,68.74297279064537,6114,8894,68.74297279064537,6114,8894
8,pgd,1,mobilenet_v2,vgg16,100.0,9057,9057,25.81208522528816,2217,8589,25.81208522528816,2217,8589
8,pgd,1,mobilenet_v2,mobilenet_v2,100.0,9057,9057,100.0,9057,9057,100.0,9057,9057
2,noise,2,resnet18,resnet18,0.4411764705882353,42,9520,0.4411764705882353,42,9520,100.0,42,42
2,noise,2,resnet18,vgg16,0.4411764705882353,42,9520,0.23534685643841757,21,8923,3.8461538461538463,1,26
2,noise,2,resnet18,mobilenet_v2,0.4411764705882353,42,9520,0.6423982869379015,57,8873,0.0,0,24
2,noise,2,vgg16,resnet18,0.34110915492957744,31,9088,0.32500280174829094,29,8923,3.8461538461538463,1,26
2,noise,2,vgg16,vgg16,0.34110915492957744,31,9088,0.34110915492957744,31,9088,100.0,31,31
2,noise,2,vgg16,mobilenet_v2,0.34110915492957744,31,9088,0.5452436194895591,47,8620,0.0,0,17
2,noise,2,mobilenet_v2,resnet18,0.7745076344323966,70,9038,0.22540290769750929,20,8873,0.0,0,54
2,noise,2,mobilenet_v2,vgg16,0.7745076344323966,70,9038,0.22041763341067283,19,8620,2.631578947368421,1,38
2,noise,2,mobilenet_v2,mobilenet_v2,0.7745076344323966,70,9038,0.7745076344323966,70,9038,100.0,70,70
2,fgsm,2,resnet18,resnet18,40.15756302521009,3823,9520,40.15756302521009,3823,9520,100.0,3823,3823
2,fgsm,2,resnet18,vgg16,40.15756302521009,3823,9520,6.264709178527402,559,8923,16.416539050535988,536,3265
2,fgsm,2,resnet18,mobilenet_v2,40.15756302521009,3823,9520,15.924715428829032,1413,8873,38.51414361206093,1239,3217
2,fgsm,2,vgg16,resnet18,51.6175176056338,4691,9088,10.680264485038665,953,8923,20.163427561837455,913,4528
2,fgsm,2,vgg16,vgg16,51.6175176056338,4691,9088,51.6175176056338,4691,9088,100.0,4691,4691
2,fgsm,2,vgg16,mobilenet_v2,51.6175176056338,4691,9088,18.65429234338747,1608,8620,34.58912173298799,1469,4247
2,fgsm,2,mobilenet_v2,resnet18,80.16154016375305,7245,9038,8.452609038656599,750,8873,10.55084745762712,747,7080
2,fgsm,2,mobilenet_v2,vgg16,80.16154016375305,7245,9038,4.849187935034803,418,8620,6.12095475179382,418,6829
2,fgsm,2,mobilenet_v2,mobilenet_v2,80.16154016375305,7245,9038,80.16154016375305,7245,9038,100.0,7245,7245
2,pgd,2,resnet18,resnet18,94.75840336134453,9021,9520,94.75840336134453,9021,9520,100.0,9021,9021
2,pgd,2,resnet18,vgg16,94.75840336134453,9021,9520,5.435391684411073,485,8923,5.7573599240265905,485,8424
2,pgd,2,resnet18,mobilenet_v2,94.75840336134453,9021,9520,21.67248957511552,1923,8873,22.951994267972296,1922,8374
2,pgd,2,vgg16,resnet18,71.17077464788733,6468,9088,15.062198812058725,1344,8923,21.148659368554657,1333,6303
2,pgd,2,vgg16,vgg16,71.17077464788733,6468,9088,71.17077464788733,6468,9088,100.0,6468,6468
2,pgd,2,vgg16,mobilenet_v2,71.17077464788733,6468,9088,23.49187935034803,2025,8620,32.5503914709312,1954,6003
2,pgd,2,mobilenet_v2,resnet18,99.8229696835583,9022,9038,11.179984221796461,992,8873,11.20018064807497,992,8857
2,pgd,2,mobilenet_v2,vgg16,99.8229696835583,9022,9038,4.6287703016241295,399,8620,4.637377963737797,399,8604
2,pgd,2,mobilenet_v2,mobilenet_v2,99.8229696835583,9022,9038,99.8229696835583,9022,9038,100.0,9022,9022
4,noise,2,resnet18,resnet18,1.0399159663865545,99,9520,1.0399159663865545,99,9520,100.0,99,99
4,noise,2,resnet18,vgg16,1.0399159663865545,99,9520,0.5603496581867086,50,8923,3.508771929824561,2,57
4,noise,2,resnet18,mobilenet_v2,1.0399159663865545,99,9520,1.5890904992674406,141,8873,23.214285714285715,13,56
4,noise,2,vgg16,resnet18,0.7152288732394366,65,9088,0.7732825282976578,69,8923,14.814814814814813,8,54
4,noise,2,vgg16,vgg16,0.7152288732394366,65,9088,0.7152288732394366,65,9088,100.0,65,65
4,noise,2,vgg16,mobilenet_v2,0.7152288732394366,65,9088,1.6241299303944314,140,8620,7.142857142857142,3,42
4,noise,2,mobilenet_v2,resnet18,2.1686213764107105,196,9038,0.6198579961681505,55,8873,7.926829268292683,13,164
4,noise,2,mobilenet_v2,vgg16,2.1686213764107105,196,9038,0.4872389791183295,42,8620,6.0606060606060606,8,132
4,noise,2,mobilenet_v2,mobilenet_v2,2.1686213764107105,196,9038,2.1686213764107105,196,9038,100.0,196,196
4,fgsm,2,resnet18,resnet18,49.47478991596639,4710,9520,49.47478991596639,4710,9520,100.0,4710,4710
4,fgsm,2,resnet18,vgg16,49.47478991596639,4710,9520,13.392356830662333,1195,8923,27.615366030442136,1143,4139
4,fgsm,2,resnet18,mobilenet_v2,49.47478991596639,4710,9520,31.88324129381269,2829,8873,58.467545143972664,2396,4098
4,fgsm,2,vgg16,resnet18,74.37279929577466,6759,9088,29.552840972767008,2637,8923,39.52994692949204,2607,6595
4,fgsm,2,vgg16,vgg16,74.37279929577466,6759,9088,74.37279929577466,6759,9088,100.0,6759,6759
4,fgsm,2,vgg16,mobilenet_v2,74.37279929577466,6759,9088,40.614849187935036,3501,8620,53.264495631453535,3353,6295
4,fgsm,2,mobilenet_v2,resnet18,91.56893117946449,8276,9038,22.472669897441676,1994,8873,24.423622241400565,1981,8111
4,fgsm,2,mobilenet_v2,vgg16,91.56893117946449,8276,9038,12.157772621809745,1048,8620,13.284132841328415,1044,7859
4,fgsm,2,mobilenet_v2,mobilenet_v2,91.56893117946449,8276,9038,91.56893117946449,8276,9038,100.0,8276,8276
4,pgd,2,resnet18,resnet18,99.93697478991596,9514,9520,99.93697478991596,9514,9520,100.0,9514,9514
4,pgd,2,resnet18,vgg16,99.93697478991596,9514,9520,8.752661660876388,781,8923,8.758551082202533,781,8917
4,pgd,2,resnet18,mobilenet_v2,99.93697478991596,9514,9520,42.73639129944776,3792,8873,42.76530957482802,3792,8867
4,pgd,2,vgg16,resnet18,97.93133802816901,8900,9088,53.95046509021629,4814,8923,55.11161991986262,4814,8735
4,pgd,2,vgg16,vgg16,97.93133802816901,8900,9088,97.93133802816901,8900,9088,100.0,8900,8900
4,pgd,2,vgg16,mobilenet_v2,97.93133802816901,8900,9088,65.64965197215777,5659,8620,66.95920303605313,5646,8432
4,pgd,2,mobilenet_v2,resnet18,100.0,9038,9038,33.83297644539615,3002,8873,33.83297644539615,3002,8873
4,pgd,2,mobilenet_v2,vgg16,100.0,9038,9038,10.904872389791183,940,8620,10.904872389791183,940,8620
4,pgd,2,mobilenet_v2,mobilenet_v2,100.0,9038,9038,100.0,9038,9038,100.0,9038,9038
8,noise,2,resnet18,resnet18,3.2878151260504205,313,9520,3.2878151260504205,313,9520,100.0,313,313
8,noise,2,resnet18,vgg16,3.2878151260504205,313,9520,1.568979042922784,140,8923,17.894736842105264,34,190
8,noise,2,resnet18,mobilenet_v2,3.2878151260504205,313,9520,7.381945227093429,655,8873,49.0,98,200
8,noise,2,vgg16,resnet18,1.7275528169014085,157,9088,2.2750196122380366,203,8923,21.48148148148148,29,135
8,noise,2,vgg16,vgg16,1.7275528169014085,157,9088,1.7275528169014085,157,9088,100.0,157,157
8,noise,2,vgg16,mobilenet_v2,1.7275528169014085,157,9088,6.716937354988399,579,8620,36.36363636363637,40,110
8,noise,2,mobilenet_v2,resnet18,8.14339455631777,736,9038,2.2765693677448438,202,8873,15.12481644640235,103,681
8,noise,2,mobilenet_v2,vgg16,8.14339455631777,736,9038,1.2529002320185616,108,8620,8.79864636209814,52,591
8,noise,2,mobilenet_v2,mobilenet_v2,8.14339455631777,736,9038,8.14339455631777,736,9038,100.0,736,736
8,fgsm,2,resnet18,resnet18,59.64285714285714,5678,9520,59.64285714285714,5678,9520,100.0,5678,5678
8,fgsm,2,resnet18,vgg16,59.64285714285714,5678,9520,26.213157009974225,2339,8923,42.4633431085044,2172,5115
8,fgsm,2,resnet18,mobilenet_v2,59.64285714285714,5678,9520,59.427476614448324,5273,8873,78.53620043401065,3981,5069
8,fgsm,2,vgg16,resnet18,87.1919014084507,7924,9088,54.14098397399978,4831,8923,61.61082474226804,4781,7760
8,fgsm,2,vgg16,vgg16,87.1919014084507,7924,9088,87.1919014084507,7924,9088,100.0,7924,7924
